Country,Number of Paragraphs,Frequent Words,Frequent Word Count,Word Count,Polarity,Subjectivity,war,poverty,corruption,insecurity,crime,art,tourism
Somalia,183,"somali,somalia,also,government,national,federal,country,somaliland,somalias,according","161,156,64,61,49,45,42,41,32,29",14446,0.079,0.342,90,2,1,0,0,152,12
South Africa,134,"south,africa,african,country,cape,world,national,largest,people,first","264,181,97,51,48,40,36,35,34,33",13094,0.097,0.358,83,10,12,0,16,237,16
South Sudan,132,"south,sudan,sudanese,government,southern,2011,sudans,country,also,african","218,211,58,43,39,35,34,30,27,26",9683,0.050,0.318,62,1,1,0,1,130,2
Sudan,151,"sudan,sudanese,south,egypt,government,war,sudans,also,people,country","199,80,49,48,45,37,32,32,30,29",12403,0.051,0.311,97,2,5,0,10,173,0
Tanzania,156,"tanzania,page,per,african,country,national,zanzibar,tanzanias,cent,east","156,59,56,47,41,41,41,32,31,28",11755,0.075,0.347,32,15,1,0,0,182,11
Togo,69,"togo,country,gnassingb,president,population,african,togolese,government,lom,opposition","60,22,22,22,20,16,16,15,13,13",4995,0.037,0.287,10,1,3,0,0,75,0
Tunisia,138,"tunisia,tunisian,french,tunis,arab,country,also,africa,national,carthage","137,62,35,33,30,26,24,23,22,21",9841,0.083,0.320,31,0,9,0,0,188,9
Uganda,148,"uganda,buganda,national,percent,government,ugandan,million,obote,country,world","165,44,40,39,37,37,36,33,32,29",10744,0.057,0.355,32,15,17,0,4,136,12
Zambia,152,"zambia,zambian,people,country,africa,zambias,southern,one,government,african","149,38,32,31,27,27,26,26,25,25",10094,0.075,0.351,21,8,5,0,0,121,14
Zimbabwe,137,"zimbabwe,government,zimbabwean,africa,mugabe,shona,first,national,african,rhodesia","188,64,44,36,36,34,31,30,29,28",12588,0.067,0.331,70,3,4,3,2,153,19
